gender,color,breed,is_adopted,adoption_date,adopter_id,adopter_name,adopter_age,adopter_city,adopter_previous_pets,adopted
female,White,Yorkshire Terrier,True,2025-03-11,A0001,Megan Rogers,56,Mcgeestad,1,1
female,Golden,Tonkinese,True,2024-02-10,A0002,Jonathan Hawkins,18,Geneshire,2,1
male,Spotted,Amazon Parrot,False,2023-10-17,A0001,Donald Adams,-1,Christopherview,0,0
female,White,German Shepherd,True,2024-08-12,A0004,Natalie Rivera,51,North Richard,3,1
female,Spotted,Dutch,False,2024-02-26,A0001,Donald Adams,-1,Christopherview,0,0
male,Spotted,Labrador Retriever,False,2025-06-17,A0001,Donald Adams,-1,Christopherview,0,0
female,Mixed,Siberian Husky,False,2025-04-21,A0001,Donald Adams,-1,Christopherview,0,0
female,Spotted,Campbell's Dwarf,True,2024-08-30,A0008,Joyce Garza,74,Port Sarachester,0,1
female,Mixed,Abyssinian,False,2023-09-25,A0001,Donald Adams,-1,Christopherview,0,0
male,Brown,French Bulldog,False,2025-02-03,A0001,Donald Adams,-1,Christopherview,0,0
male,Grey,Chinese,False,2025-01-11,A0001,Donald Adams,-1,Christopherview,0,0
female,White,Bengal,False,2024-06-15,A0001,Donald Adams,-1,Christopherview,0,0
male,Golden,Bengal,False,2025-05-25,A0001,Donald Adams,-1,Christopherview,0,0
female,Black,Dutch,True,2024-02-13,A0014,Philip Ibarra,63,New Rachelview,2,1
male,Mixed,Netherland Dwarf,False,2024-07-03,A0001,Donald Adams,-1,Christopherview,0,0
female,Black,Silver Marten,True,2024-08-15,A0016,Emily Fernandez,42,Lake Jonathan,0,1
male,Brown,Roborovski,True,2024-06-02,A0017,Mr. Evan Smith,24,Port Timothy,3,1
female,Golden,Maine Coon,True,2024-06-29,A0018,Jeffery Zamora,49,Marychester,3,1
male,White,Conure,True,2024-10-10,A0019,Kathy Cox,62,Joyton,2,1
female,Grey,Syrian,True,2024-11-13,A0020,Jody Gutierrez,72,Camposton,0,1
female,Mixed,Persian,False,2025-05-25,A0001,Donald Adams,-1,Christopherview,0,0
male,Grey,Norwegian Forest Cat,True,2024-03-31,A0022,Daniel Nelson,42,West Johnfurt,0,1
female,Brown,Winter White,False,2024-12-11,A0001,Donald Adams,-1,Christopherview,0,0
male,Golden,Maine Coon,True,2023-08-25,A0024,Rodney White,26,Millerside,4,1
male,Black,Canary,True,2024-04-03,A0025,William Wiley,46,Lake Melvinmouth,0,1
male,Spotted,Dutch,False,2024-07-06,A0001,Donald Adams,-1,Christopherview,0,0
female,Golden,Oriental Shorthair,True,2025-06-18,A0027,William White,28,Andreaview,5,1
female,Grey,Dwarf Campbell,False,2024-06-01,A0001,Donald Adams,-1,Christopherview,0,0
female,White,Maine Coon,False,2025-05-25,A0001,Donald Adams,-1,Christopherview,0,0
male,Golden,European Hamster,False,2024-03-23,A0001,Donald Adams,-1,Christopherview,0,0
male,Spotted,Syrian,True,2024-11-27,A0031,Jesse Castro,63,Ramoston,0,1
male,Spotted,Sphynx,True,2024-05-06,A0032,Steven Acevedo,33,Nathanport,5,1
male,White,Boxer,True,2025-05-15,A0033,Theresa Shaw,57,East Kellyburgh,3,1
female,White,Yorkshire Terrier,True,2023-12-11,A0034,Alyssa Brown,45,Stevenville,0,1
female,Spotted,Russian Dwarf,True,2024-02-04,A0035,Bruce Holland,35,Browntown,5,1
male,Brown,Oriental Shorthair,False,2024-07-30,A0001,Donald Adams,-1,Christopherview,0,0
male,Golden,Amazon Parrot,False,2024-12-10,A0001,Donald Adams,-1,Christopherview,0,0
female,Spotted,Parakeet,True,2024-04-15,A0038,Scott Rivera,33,Port Tiffanyland,5,1
male,Grey,Roborovski,False,2025-04-15,A0001,Donald Adams,-1,Christopherview,0,0
male,White,Great Dane,False,2025-04-18,A0001,Donald Adams,-1,Christopherview,0,0
female,Spotted,Siberian Husky,False,2024-03-13,A0001,Donald Adams,-1,Christopherview,0,0
female,Spotted,Korean,True,2024-05-18,A0042,Katherine Montgomery,56,Hughesburgh,0,1
female,White,Siberian Husky,True,2025-01-24,A0043,Brian Johnston,71,Kennedyfurt,5,1
female,Brown,Conure,False,2024-06-20,A0001,Donald Adams,-1,Christopherview,0,0
male,Brown,Syrian,False,2024-12-01,A0001,Donald Adams,-1,Christopherview,0,0
male,Black,Russian Blue,True,2024-05-20,A0046,Lindsay Preston,60,Lake John,4,1
male,Grey,Macaw,True,2024-03-28,A0047,Joan Smith,27,Pughbury,4,1
female,Mixed,Beagle,True,2025-01-31,A0048,Jessica Burgess,35,Lake Christopherfurt,5,1
male,Brown,German Shepherd,False,2025-04-21,A0001,Donald Adams,-1,Christopherview,0,0
male,White,Russian Dwarf,False,2024-12-01,A0001,Donald Adams,-1,Christopherview,0,0
female,Golden,Persian,True,2025-01-15,A0051,Jacob West,22,Andersonton,3,1
female,Brown,Chinese,False,2023-08-22,A0001,Donald Adams,-1,Christopherview,0,0
female,Spotted,African Grey Parrot,True,2025-05-29,A0053,Jacob Copeland,63,East Amandaside,2,1
female,Black,Winter White,True,2024-12-01,A0054,David Bond,75,Port Christianberg,2,1
female,Spotted,Shih Tzu,True,2025-05-19,A0055,Madeline Smith,24,Williamville,3,1
female,Grey,European Hamster,True,2023-08-10,A0056,Debra Santiago,19,Washingtonshire,2,1
male,Brown,Macaw,True,2025-06-10,A0057,Sabrina Lawson,46,Pattonville,4,1
male,Black,Mini Rex,True,2023-12-07,A0058,Richard Wallace,28,North Philipchester,5,1
male,White,Dwarf Campbell,False,2025-05-31,A0001,Donald Adams,-1,Christopherview,0,0
male,Spotted,Korean,True,2024-01-30,A0060,James Wallace,66,East Kenneth,3,1
male,Spotted,Conure,True,2025-06-18,A0061,Angela Harmon,64,South Brent,3,1
male,Spotted,Cockatoo,True,2024-09-21,A0062,Tammy Mason,41,New James,1,1
male,Brown,Korean,True,2024-04-28,A0063,Brad Carney,73,North Nicole,3,1
female,Golden,Boxer,True,2025-01-15,A0064,Mr. David Brock,60,Ashleyborough,2,1
male,Golden,Cockatiel,True,2025-06-18,A0065,Marie Sanchez,64,Hallburgh,3,1
female,Black,British Shorthair,True,2024-08-25,A0066,Randall Pittman,36,North Joanne,4,1
female,Black,Amazon Parrot,True,2024-10-26,A0067,Phillip Bailey,55,Lake Charles,0,1
female,Brown,Conure,False,2025-05-06,A0001,Donald Adams,-1,Christopherview,0,0
female,White,Bengal,True,2024-04-29,A0069,Lindsey Walker,22,South Nicole,3,1
female,Golden,Macaw,True,2025-01-11,A0070,Laura Craig,53,Lake Lisatown,3,1
male,Mixed,Budgerigar,True,2025-06-18,A0071,Mrs. Amy Thompson,73,Samanthaview,4,1
female,White,Syrian,True,2025-06-18,A0072,Bonnie Macdonald,56,Jenniferbury,0,1
female,Mixed,Polish,False,2025-05-22,A0001,Donald Adams,-1,Christopherview,0,0
female,White,Devon Rex,True,2025-06-18,A0074,Daniel Galvan,29,West Maryburgh,1,1
male,Grey,Siamese,False,2024-05-02,A0001,Donald Adams,-1,Christopherview,0,0
male,Golden,Campbell's Dwarf,False,2023-10-31,A0001,Donald Adams,-1,Christopherview,0,0
female,White,Campbell's Dwarf,True,2025-04-03,A0077,Aaron Tucker,62,East William,1,1
female,Golden,Bengal,False,2024-09-23,A0001,Donald Adams,-1,Christopherview,0,0
female,Black,Devon Rex,False,2025-02-06,A0001,Donald Adams,-1,Christopherview,0,0
female,Golden,Parakeet,True,2024-07-01,A0080,Candice Gutierrez,48,Cookburgh,3,1
female,Grey,Conure,True,2024-02-29,A0081,Dennis Anderson,75,New Brittanystad,3,1
female,Brown,Golden Retriever,True,2023-10-21,A0082,Robert Hooper,46,Lake Ryanmouth,3,1
